,Division,Team,Location,Arena,Capacity,Coordinates,Founded,Joined,Longitude,Latitude,Team_short
14,Southeast,Washington Wizards,"Washington, D.C.",Capital One Arena,20356,38°53′53″N 77°01′15″W﻿ / ﻿38.898056°N 77.020833°W,1961*,1961*,-77.020833,38.898056,WAS
15,Northwest,Denver Nuggets,"Denver, Colorado",Ball Arena,19520,39°44′55″N 105°00′27″W﻿ / ﻿39.748611°N 105.0075°W,1967,1976,-105.0075,39.748611,DEN
16,Northwest,Minnesota Timberwolves,"Minneapolis, Minnesota",Target Center,19356,44°58′46″N 93°16′34″W﻿ / ﻿44.979444°N 93.276111°W,1989,1989,-93.276111,44.979444,MIN
17,Northwest,Oklahoma City Thunder,"Oklahoma City, Oklahoma",Paycom Center,18203,35°27′48″N 97°30′54″W﻿ / ﻿35.463333°N 97.515°W,1967*,1967*,-97.515,35.463333,OKC
18,Northwest,Portland Trail Blazers,"Portland, Oregon",Moda Center,19441,45°31′54″N 122°40′00″W﻿ / ﻿45.531667°N 122.666667°W,1970,1970,-122.666667,45.531667,POR
19,Northwest,Utah Jazz,"Salt Lake City, Utah",Vivint Arena,19911,40°46′06″N 111°54′04″W﻿ / ﻿40.768333°N 111.901111°W,1974*,1974*,-111.901111,40.768333,UTH
20,Pacific,Golden State Warriors,"San Francisco, California",Chase Center,18064,37°46′05″N 122°23′15″W﻿ / ﻿37.768056°N 122.3875°W,1946*,1946*,-122.3875,37.768056,GSW
21,Pacific,Los Angeles Clippers,"Los Angeles, California",Staples Center,19060,34°02′35″N 118°16′02″W﻿ / ﻿34.043056°N 118.267222°W,1970*,1970*,-118.267222,34.043056,LAC
22,Pacific,Los Angeles Lakers,"Los Angeles, California",Staples Center,18997,34°02′35″N 118°16′02″W﻿ / ﻿34.043056°N 118.267222°W,1947*,1948,-118.267222,34.043056,LAL
23,Pacific,Phoenix Suns,"Phoenix, Arizona",Footprint Center,18055,33°26′45″N 112°04′17″W﻿ / ﻿33.445833°N 112.071389°W,1968,1968,-112.071389,33.445833,PHO
24,Pacific,Sacramento Kings,"Sacramento, California",Golden 1 Center,17500,38°38′57″N 121°31′05″W﻿ / ﻿38.649167°N 121.518056°W,1923*,1948,-121.518056,38.649167,SAC
25,Southwest,Dallas Mavericks,"Dallas, Texas",American Airlines Center,19200,32°47′26″N 96°48′37″W﻿ / ﻿32.790556°N 96.810278°W,1980,1980,-96.810278,32.790556,DAL
26,Southwest,Houston Rockets,"Houston, Texas",Toyota Center,18055,29°45′03″N 95°21′44″W﻿ / ﻿29.750833°N 95.362222°W,1967*,1967*,-95.362222,29.750833,HOU
27,Southwest,Memphis Grizzlies,"Memphis, Tennessee",FedExForum,18119,35°08′18″N 90°03′02″W﻿ / ﻿35.138333°N 90.050556°W,1995*,1995*,-90.050556,35.138333,MEM
28,Southwest,New Orleans Pelicans,"New Orleans, Louisiana",Smoothie King Center,16867,29°56′56″N 90°04′55″W﻿ / ﻿29.948889°N 90.081944°W,2002*,2002*,-90.081944,29.948889,NOP
29,Southwest,San Antonio Spurs,"San Antonio, Texas",AT&T Center,18418,29°25′37″N 98°26′15″W﻿ / ﻿29.426944°N 98.4375°W,1967*,1976,-98.4375,29.426944,SAS
30,Atlantic,New Jersey Nets,"Newark, New Jersey",Prudential Center,18711,40°44′1″N 74°10′16″W﻿ / ﻿40.733611°N 74.171111°W,1976*,1976,-74.171111,40.733611,NJN
31,Southwest,New Orleans Hornets,"New Orleans, Louisiana",New Orleans Arena,16867,29°56′56″N 90°04′55″W﻿ / ﻿29.948889°N 90.081944°W,2002*,2002*,-90.081944,29.948889,NOH
32,Southeast,Charlotte Hornets,"Charlotte, North Carolina",Spectrum Center,19077,35°13′30″N 80°50′21″W﻿ / ﻿35.225°N 80.839167°W,1988*,1988*,-80.839167,35.225,CHA
